1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A01B,22,0,0,1,1,1,2,1,0,3,5,8
A01C,34,0,0,0,0,1,1,3,4,10,5,10
A01D,145,0,1,1,3,7,7,12,11,21,41,41
A01F,10,1,0,1,0,0,0,2,1,3,1,1
A01G,135,1,3,0,3,11,18,15,16,28,19,21
A01H,49,3,0,2,1,4,0,4,10,6,10,9
A01K,281,5,7,12,10,17,18,25,43,50,37,57
A01M,30,0,1,0,1,1,3,3,6,7,5,3
A01N,252,24,28,18,19,19,21,21,22,32,27,21
A01P,1,0,0,0,0,0,0,0,0,0,1,0
A21B,9,0,2,1,3,0,1,1,0,0,0,1
A21C,12,0,0,0,2,3,0,2,1,0,2,2
A21D,7,0,0,0,0,0,1,1,0,0,3,2
A22B,3,0,0,0,0,0,0,0,0,1,1,1
A22C,16,2,0,0,1,2,3,0,1,1,6,0
A23B,20,0,0,1,1,0,3,1,1,3,7,3
A23C,16,0,0,0,1,0,1,1,1,3,4,5
A23D,6,0,0,0,1,2,2,0,0,0,1,0
A23F,6,1,0,1,1,0,0,0,0,2,1,0
A23G,9,0,0,1,1,1,1,1,0,1,1,2
A23J,10,0,0,0,1,1,1,2,2,1,2,0
A23K,14,2,0,1,1,0,2,1,0,2,4,1
A23L,105,1,4,6,3,7,9,6,11,18,14,26
A23N,13,1,0,1,0,0,3,0,1,1,4,2
A23P,12,0,0,1,0,0,0,3,3,2,1,2
A24B,21,0,1,1,1,5,0,1,1,3,4,4
A24C,7,0,0,0,0,0,0,0,0,1,3,3
A24D,16,0,0,0,1,1,0,0,2,2,2,8
A24F,711,1,16,47,69,117,57,76,74,63,57,134
A41B,6,0,0,0,0,0,1,0,1,0,3,1
A41C,19,1,0,0,1,1,1,2,1,1,3,8
A41D,33,0,0,0,0,0,3,6,5,4,7,8
A41F,7,0,1,0,0,0,0,2,1,2,1,0
A41G,4,0,0,0,0,0,0,0,0,0,1,3
A41H,5,0,0,1,0,0,0,0,0,0,1,3
A42B,35,2,1,0,2,2,7,3,4,2,7,5
A42C,3,0,0,0,0,0,0,1,0,0,1,1
A43B,37,1,1,0,6,6,3,5,4,6,2,3
A43C,11,1,0,1,0,0,0,3,0,2,2,2
A43D,2,0,0,0,1,0,0,0,1,0,0,0
A44B,90,1,4,5,4,4,10,11,18,12,8,13
A44C,40,0,1,2,0,1,3,9,6,7,5,6
A45B,54,1,2,7,4,4,2,8,8,4,4,10
A45C,55,3,1,2,2,6,7,4,8,9,5,8
A45D,113,2,4,8,8,15,8,5,9,15,14,25
A45F,24,0,3,1,1,1,1,3,3,4,3,4
A46B,37,1,0,1,2,3,5,2,8,4,6,5
A46D,3,0,0,0,1,0,1,0,0,0,1,0
A47B,351,31,20,24,22,23,24,32,40,49,38,48
A47C,419,12,12,15,26,35,37,51,62,49,59,61
A47D,41,3,1,0,3,2,2,4,2,6,5,13
A47F,40,8,5,2,10,3,2,2,2,3,1,2
A47G,93,6,7,6,7,6,5,10,12,10,13,11
A47H,15,0,0,1,2,1,2,0,0,2,3,4
A47J,294,12,9,16,26,18,24,53,29,27,28,52
A47K,110,4,5,10,15,8,16,8,10,14,8,12
A47L,427,5,10,12,19,25,41,44,54,45,74,98
A61B,1706,27,35,56,76,100,139,208,216,254,273,322
A61C,92,2,1,3,3,4,7,14,9,14,15,20
A61D,3,0,0,0,0,0,0,0,0,0,1,2
A61F,414,5,14,20,20,35,45,55,50,45,56,69
A61G,56,0,1,2,4,6,3,11,7,5,7,10
A61H,191,2,2,6,12,12,9,21,28,34,26,39
A61J,35,0,2,0,5,3,4,4,4,6,6,1
A61K,2433,119,149,134,161,170,252,285,278,316,280,289
A61L,234,5,4,7,4,13,20,31,40,35,37,38
A61M,301,6,9,11,14,26,26,23,32,54,44,56
A61N,341,9,10,13,12,9,18,36,49,54,54,77
A61P,71,0,1,1,1,1,8,7,12,13,7,20
A61Q,10,1,1,1,0,2,2,1,0,1,1,0
A62B,22,0,0,0,3,1,2,4,1,5,4,2
A62C,54,5,3,6,10,4,0,2,5,4,6,9
A62D,30,6,3,2,6,3,3,0,1,1,3,2
A63B,220,3,3,7,13,12,26,24,23,34,33,42
A63C,31,0,1,0,1,4,5,8,2,6,3,1
A63D,3,0,1,0,0,1,1,0,0,0,0,0
A63F,474,4,4,7,14,14,25,50,53,81,67,155
A63G,25,2,0,1,2,3,4,4,2,1,3,3
A63H,111,1,5,8,9,18,13,16,9,8,13,11
A63J,9,0,0,0,1,2,1,2,0,0,2,1
B01B,2,0,0,0,0,0,1,0,1,0,0,0
B01D,636,20,28,26,35,49,75,63,61,79,90,110
B01F,96,3,10,3,7,6,11,9,13,7,7,20
B01J,697,24,33,43,55,52,58,51,74,102,108,97
B01L,189,1,0,4,6,5,11,11,14,54,36,47
B02B,1,0,0,0,0,0,0,1,0,0,0,0
B02C,88,7,6,6,8,3,7,12,10,5,11,13
B03B,13,1,0,0,0,0,4,1,0,3,2,2
B03C,37,4,2,2,4,2,4,7,3,2,2,5
B03D,7,0,0,0,0,0,0,2,1,0,2,2
B04B,5,0,1,0,0,0,1,1,0,0,0,2
B04C,6,0,0,0,0,1,1,0,1,0,0,3
B05B,361,7,20,23,19,36,50,32,46,59,32,37
B05C,61,2,1,8,3,8,9,6,5,6,8,5
B05D,111,19,16,7,12,11,11,7,8,9,4,7
B06B,32,0,0,0,1,2,0,2,2,5,10,10
B07B,19,0,0,2,2,1,0,2,1,7,3,1
B07C,46,0,1,0,2,1,4,1,6,12,5,14
B08B,180,7,4,7,11,8,24,29,18,23,23,26
B09B,17,1,0,0,1,3,2,2,0,2,1,5
B09C,48,0,2,3,2,0,7,10,8,3,8,5
B21B,60,2,1,2,4,2,4,4,2,6,19,14
B21C,26,0,0,1,0,0,4,3,3,5,7,3
B21D,121,5,7,5,9,7,4,16,17,26,14,11
B21F,10,0,2,0,0,1,2,1,1,0,2,1
B21H,11,0,0,0,0,0,3,0,3,1,2,2
B21J,28,0,0,2,2,3,2,2,8,4,3,2
B21K,5,0,0,0,0,0,0,0,0,1,3,1
B21L,1,0,0,0,0,1,0,0,0,0,0,0
B22C,46,1,3,2,6,3,5,5,4,6,4,7
B22D,127,8,5,9,4,12,10,12,17,15,17,18
B22F,135,3,6,3,8,7,12,13,23,21,18,21
B23B,96,5,2,6,11,8,22,13,7,11,8,3
B23C,25,2,0,2,1,1,4,3,3,4,4,1
B23D,57,0,3,3,5,5,5,8,10,5,4,9
B23F,3,0,1,0,0,0,0,0,1,0,0,1
B23G,1,0,1,0,0,0,0,0,0,0,0,0
B23H,17,1,0,0,0,3,1,1,1,2,3,5
B23K,270,7,9,11,18,7,24,38,22,23,45,66
B23P,150,13,9,18,14,11,8,14,19,10,16,18
B23Q,140,10,8,21,12,9,9,10,8,10,17,26
B24B,210,12,9,13,10,30,27,18,11,19,27,34
B24C,9,0,0,0,2,1,0,0,1,0,2,3
B24D,21,0,3,0,2,2,5,1,3,1,1,3
B25B,167,5,16,14,23,13,21,23,8,19,16,9
B25C,45,1,1,0,8,2,5,2,5,7,8,6
